序号,公司,Ticker,指数归属,GICS行业,GICS子行业,ICB行业,ICB子行业,CIK,研究目录,状态
213,Bio-Techne,TECH,S&P 500,Health Care,Life Sciences Tools & Services,,,0000842023,Bio_Techne_TECH,已完成
214,Biogen,BIIB,S&P 500,Health Care,Biotechnology,,,0000875045,Biogen_BIIB,已完成
215,Boston Scientific,BSX,S&P 500,Health Care,Health Care Equipment,,,0000885725,Boston_Scientific_BSX,已完成
216,Bristol Myers Squibb,BMY,S&P 500,Health Care,Pharmaceuticals,,,0000014272,Bristol_Myers_Squibb_BMY,已完成
217,CVS Health,CVS,S&P 500,Health Care,Health Care Services,,,0000064803,CVS_Health_CVS,已完成
218,Cardinal Health,CAH,S&P 500,Health Care,Health Care Distributors,,,0000721371,Cardinal_Health_CAH,已完成
219,Cencora,COR,S&P 500,Health Care,Health Care Distributors,,,0001140859,Cencora_COR,已完成
220,Centene Corporation,CNC,S&P 500,Health Care,Managed Health Care,,,0001071739,Centene_Corporation_CNC,已完成
221,Charles River Laboratories,CRL,S&P 500,Health Care,Life Sciences Tools & Services,,,0001100682,Charles_River_Laboratories_CRL,已完成
222,Cigna,CI,S&P 500,Health Care,Health Care Services,,,0001739940,Cigna_CI,已完成
223,Cooper Companies (The),COO,S&P 500,Health Care,Health Care Supplies,,,0000711404,Cooper_Companies_The_COO,已完成
224,DaVita,DVA,S&P 500,Health Care,Health Care Services,,,0000927066,DaVita_DVA,已完成
225,Danaher Corporation,DHR,S&P 500,Health Care,Life Sciences Tools & Services,,,0000313616,Danaher_Corporation_DHR,已完成
226,DexCom,DXCM,Nasdaq-100,,,Health Care,Medical/Dental Instruments,,DexCom_DXCM,已完成
227,Dexcom,DXCM,S&P 500,Health Care,Health Care Equipment,,,0001093557,DexCom_DXCM,已完成
228,Edwards Lifesciences,EW,S&P 500,Health Care,Health Care Equipment,,,0001099800,Edwards_Lifesciences_EW,已完成
229,Elevance Health,ELV,S&P 500,Health Care,Managed Health Care,,,0001156039,Elevance_Health_ELV,已完成
230,GE HealthCare,GEHC,"Nasdaq-100, S&P 500",Health Care,Health Care Equipment,Health Care,Medical Electronics,0001932393,GE_HealthCare_GEHC,已完成
231,Gilead Sciences,GILD,"Nasdaq-100, S&P 500",Health Care,Biotechnology,Health Care,Biotechnology,0000882095,Gilead_Sciences_GILD,未开始
232,HCA Healthcare,HCA,S&P 500,Health Care,Health Care Facilities,,,0000860730,HCA_Healthcare_HCA,未开始
233,Henry Schein,HSIC,S&P 500,Health Care,Health Care Distributors,,,0001000228,Henry_Schein_HSIC,未开始
234,Humana,HUM,S&P 500,Health Care,Managed Health Care,,,0000049071,Humana_HUM,未开始
235,IQVIA,IQV,S&P 500,Health Care,Life Sciences Tools & Services,,,0001478242,IQVIA_IQV,未开始
236,Idexx Laboratories,IDXX,"Nasdaq-100, S&P 500",Health Care,Health Care Equipment,Health Care,Biotechnology,0000874716,Idexx_Laboratories_IDXX,未开始
237,Incyte,INCY,S&P 500,Health Care,Biotechnology,,,0000879169,Incyte_INCY,未开始
238,Insulet Corporation,PODD,S&P 500,Health Care,Health Care Equipment,,,0001145197,Insulet_Corporation_PODD,未开始
239,Intuitive Surgical,ISRG,"Nasdaq-100, S&P 500",Health Care,Health Care Equipment,Health Care,Industrial Specialties,0001035267,Intuitive_Surgical_ISRG,未开始
240,Johnson & Johnson,JNJ,S&P 500,Health Care,Pharmaceuticals,,,0000200406,Johnson_Johnson_JNJ,未开始
241,Labcorp,LH,S&P 500,Health Care,Health Care Services,,,0000920148,Labcorp_LH,未开始
242,Lilly (Eli),LLY,S&P 500,Health Care,Pharmaceuticals,,,0000059478,Lilly_Eli_LLY,未开始
243,McKesson Corporation,MCK,S&P 500,Health Care,Health Care Distributors,,,0000927653,McKesson_Corporation_MCK,未开始
244,Medtronic,MDT,S&P 500,Health Care,Health Care Equipment,,,0001613103,Medtronic_MDT,未开始
245,Merck & Co.,MRK,S&P 500,Health Care,Pharmaceuticals,,,0000310158,Merck_Co_MRK,未开始
246,Mettler Toledo,MTD,S&P 500,Health Care,Life Sciences Tools & Services,,,0001037646,Mettler_Toledo_MTD,未开始
247,Moderna,MRNA,S&P 500,Health Care,Biotechnology,,,0001682852,Moderna_MRNA,未开始
248,Pfizer,PFE,S&P 500,Health Care,Pharmaceuticals,,,0000078003,Pfizer_PFE,未开始
249,Quest Diagnostics,DGX,S&P 500,Health Care,Health Care Services,,,0001022079,Quest_Diagnostics_DGX,未开始
250,Regeneron Pharmaceuticals,REGN,"Nasdaq-100, S&P 500",Health Care,Biotechnology,Health Care,Biotechnology,0000872589,Regeneron_Pharmaceuticals_REGN,未开始
251,ResMed,RMD,S&P 500,Health Care,Health Care Equipment,,,0000943819,ResMed_RMD,未开始
252,Revvity,RVTY,S&P 500,Health Care,Health Care Equipment,,,0000031791,Revvity_RVTY,未开始
253,Solventum,SOLV,S&P 500,Health Care,Health Care Technology,,,0001964738,Solventum_SOLV,未开始
254,Steris,STE,S&P 500,Health Care,Health Care Equipment,,,0001757898,Steris_STE,未开始
255,Stryker Corporation,SYK,S&P 500,Health Care,Health Care Equipment,,,0000310764,Stryker_Corporation_SYK,未开始
256,Thermo Fisher Scientific,TMO,S&P 500,Health Care,Life Sciences Tools & Services,,,0000097745,Thermo_Fisher_Scientific_TMO,未开始
257,UnitedHealth Group,UNH,S&P 500,Health Care,Managed Health Care,,,0000731766,UnitedHealth_Group_UNH,未开始
258,Universal Health Services,UHS,S&P 500,Health Care,Health Care Facilities,,,0000352915,Universal_Health_Services_UHS,未开始
259,Veeva Systems,VEEV,S&P 500,Health Care,Health Care Technology,,,0001393052,Veeva_Systems_VEEV,未开始
260,Vertex Pharmaceuticals,VRTX,"Nasdaq-100, S&P 500",Health Care,Biotechnology,Health Care,Biotechnology,0000875320,Vertex_Pharmaceuticals_VRTX,未开始
261,Viatris,VTRS,S&P 500,Health Care,Pharmaceuticals,,,0001792044,Viatris_VTRS,未开始
262,Waters Corporation,WAT,S&P 500,Health Care,Life Sciences Tools & Services,,,0001000697,Waters_Corporation_WAT,未开始
263,West Pharmaceutical Services,WST,S&P 500,Health Care,Health Care Supplies,,,0000105770,West_Pharmaceutical_Services_WST,未开始
264,Zimmer Biomet,ZBH,S&P 500,Health Care,Health Care Equipment,,,0001136869,Zimmer_Biomet_ZBH,未开始
265,Zoetis,ZTS,S&P 500,Health Care,Pharmaceuticals,,,0001555280,Zoetis_ZTS,未开始
266,3M,MMM,S&P 500,Industrials,Industrial Conglomerates,,,0000066740,3M_MMM,未开始
267,A. O. Smith,AOS,S&P 500,Industrials,Building Products,,,0000091142,A_O_Smith_AOS,未开始
268,Allegion,ALLE,S&P 500,Industrials,Building Products,,,0001579241,Allegion_ALLE,未开始
269,Ametek,AME,S&P 500,Industrials,Electrical Components & Equipment,,,0001037868,Ametek_AME,未开始
270,Automatic Data Processing,ADP,"Nasdaq-100, S&P 500",Industrials,Human Resource & Employment Services,Industrials,Diversified Commercial Services,0000008670,Automatic_Data_Processing_ADP,未开始
271,Axon Enterprise,AXON,"Nasdaq-100, S&P 500",Industrials,Aerospace & Defense,Industrials,Ordnance & Accessories,0001069183,Axon_Enterprise_AXON,未开始
272,Boeing,BA,S&P 500,Industrials,Aerospace & Defense,,,0000012927,Boeing_BA,未开始
273,Broadridge Financial Solutions,BR,S&P 500,Industrials,Data Processing & Outsourced Services,,,0001383312,Broadridge_Financial_Solutions_BR,未开始
274,Builders FirstSource,BLDR,S&P 500,Industrials,Building Products,,,0001316835,Builders_FirstSource_BLDR,未开始
275,C.H. Robinson,CHRW,S&P 500,Industrials,Air Freight & Logistics,,,0001043277,C_H_Robinson_CHRW,未开始
276,CSX Corporation,CSX,"Nasdaq-100, S&P 500",Industrials,Rail Transportation,Industrials,Railroads,0000277948,CSX_Corporation_CSX,未开始
277,Carrier Global,CARR,S&P 500,Industrials,Building Products,,,0001783180,Carrier_Global_CARR,未开始
278,Caterpillar Inc.,CAT,S&P 500,Industrials,Construction Machinery & Heavy Transportation Equipment,,,0000018230,Caterpillar_Inc_CAT,未开始
279,Cintas,CTAS,"Nasdaq-100, S&P 500",Industrials,Diversified Support Services,Industrials,Garments & Clothing,0000723254,Cintas_CTAS,未开始
280,Comfort Systems USA,FIX,S&P 500,Industrials,Construction & Engineering,,,0001035983,Comfort_Systems_USA_FIX,未开始
281,Copart,CPRT,"Nasdaq-100, S&P 500",Industrials,Diversified Support Services,Consumer Discretionary,Retail,0000900075,Copart_CPRT,未开始
282,Cummins,CMI,S&P 500,Industrials,Construction Machinery & Heavy Transportation Equipment,,,0000026172,Cummins_CMI,未开始
283,Deere & Company,DE,S&P 500,Industrials,Agricultural & Farm Machinery,,,0000315189,Deere_Company_DE,未开始
284,Delta Air Lines,DAL,S&P 500,Industrials,Passenger Airlines,,,0000027904,Delta_Air_Lines_DAL,未开始
285,Dover Corporation,DOV,S&P 500,Industrials,Industrial Machinery & Supplies & Components,,,0000029905,Dover_Corporation_DOV,未开始
286,Eaton Corporation,ETN,S&P 500,Industrials,Electrical Components & Equipment,,,0001551182,Eaton_Corporation_ETN,未开始
287,Emcor,EME,S&P 500,Industrials,Construction & Engineering,,,0000105634,Emcor_EME,未开始
288,Emerson Electric,EMR,S&P 500,Industrials,Electrical Components & Equipment,,,0000032604,Emerson_Electric_EMR,未开始
289,Equifax,EFX,S&P 500,Industrials,Research & Consulting Services,,,0000033185,Equifax_EFX,未开始
290,Expeditors International,EXPD,S&P 500,Industrials,Air Freight & Logistics,,,0000746515,Expeditors_International_EXPD,未开始
291,Fastenal,FAST,"Nasdaq-100, S&P 500",Industrials,Trading Companies & Distributors,Industrials,Construction & Materials,0000815556,Fastenal_FAST,未开始
292,FedEx,FDX,S&P 500,Industrials,Air Freight & Logistics,,,0001048911,FedEx_FDX,未开始
293,FedEx Freight,FDXF,S&P 500,Industrials,Cargo Ground Transportation,,,0002082247,FedEx_Freight_FDXF,未开始
294,Ferrovial,FER,Nasdaq-100,,,Industrials,"Military, Government, Technical",,Ferrovial_FER,未开始
295,Fortive,FTV,S&P 500,Industrials,Industrial Machinery & Supplies & Components,,,0001659166,Fortive_FTV,未开始
296,GE Aerospace,GE,S&P 500,Industrials,Aerospace & Defense,,,0000040545,GE_Aerospace_GE,未开始
297,GE Vernova,GEV,S&P 500,Industrials,Heavy Electrical Equipment,,,0001996810,GE_Vernova_GEV,未开始
298,Generac,GNRC,S&P 500,Industrials,Heavy Electrical Equipment,,,0001474735,Generac_GNRC,未开始
299,General Dynamics,GD,S&P 500,Industrials,Aerospace & Defense,,,0000040533,General_Dynamics_GD,未开始
300,Honeywell Aerospace,HONA,"Nasdaq-100, S&P 500",Industrials,Aerospace & Defense,Industrials,Aerospace,0002089271,Honeywell_Aerospace_HONA,未开始
301,Honeywell Technologies,HON,"Nasdaq-100, S&P 500",Industrials,Industrial Conglomerates,Industrials,Diversified Industrials,0000773840,Honeywell_Technologies_HON,未开始
302,Howmet Aerospace,HWM,S&P 500,Industrials,Aerospace & Defense,,,0000004281,Howmet_Aerospace_HWM,未开始
303,Hubbell Incorporated,HUBB,S&P 500,Industrials,Industrial Machinery & Supplies & Components,,,0000048898,Hubbell_Incorporated_HUBB,未开始
304,Huntington Ingalls Industries,HII,S&P 500,Industrials,Aerospace & Defense,,,0001501585,Huntington_Ingalls_Industries_HII,未开始
305,IDEX Corporation,IEX,S&P 500,Industrials,Industrial Machinery & Supplies & Components,,,0000832101,IDEX_Corporation_IEX,未开始
306,Illinois Tool Works,ITW,S&P 500,Industrials,Industrial Machinery & Supplies & Components,,,0000049826,Illinois_Tool_Works_ITW,未开始
307,Ingersoll Rand,IR,S&P 500,Industrials,Industrial Machinery & Supplies & Components,,,0001699150,Ingersoll_Rand_IR,未开始
308,J.B. Hunt,JBHT,S&P 500,Industrials,Cargo Ground Transportation,,,0000728535,J_B_Hunt_JBHT,未开始
309,Jacobs Solutions,J,S&P 500,Industrials,Construction & Engineering,,,0000052988,Jacobs_Solutions_J,未开始
310,Johnson Controls,JCI,S&P 500,Industrials,Building Products,,,0000833444,Johnson_Controls_JCI,未开始
311,L3Harris,LHX,S&P 500,Industrials,Aerospace & Defense,,,0000202058,L3Harris_LHX,未开始
312,Leidos,LDOS,S&P 500,Industrials,Diversified Support Services,,,0001336920,Leidos_LDOS,未开始
313,Lennox International,LII,S&P 500,Industrials,Building Products,,,0001069202,Lennox_International_LII,未开始
314,Lockheed Martin,LMT,S&P 500,Industrials,Aerospace & Defense,,,0000936468,Lockheed_Martin_LMT,未开始
315,Masco,MAS,S&P 500,Industrials,Building Products,,,0000062996,Masco_MAS,未开始
316,Nordson Corporation,NDSN,S&P 500,Industrials,Industrial Machinery & Supplies & Components,,,0000072331,Nordson_Corporation_NDSN,未开始
317,Norfolk Southern,NSC,S&P 500,Industrials,Rail Transportation,,,0000702165,Norfolk_Southern_NSC,未开始
318,Northrop Grumman,NOC,S&P 500,Industrials,Aerospace & Defense,,,0001133421,Northrop_Grumman_NOC,未开始
319,Old Dominion,ODFL,S&P 500,Industrials,Cargo Ground Transportation,,,0000878927,Old_Dominion_ODFL,未开始
320,Old Dominion Freight Line,ODFL,Nasdaq-100,,,Industrials,Trucking,,Old_Dominion_Freight_Line_ODFL,未开始
321,Otis Worldwide,OTIS,S&P 500,Industrials,Industrial Machinery & Supplies & Components,,,0001781335,Otis_Worldwide_OTIS,未开始
322,Paccar,PCAR,"Nasdaq-100, S&P 500",Industrials,Construction Machinery & Heavy Transportation Equipment,Consumer Discretionary,Motor Vehicles,0000075362,Paccar_PCAR,未开始
323,Parker Hannifin,PH,S&P 500,Industrials,Industrial Machinery & Supplies & Components,,,0000076334,Parker_Hannifin_PH,未开始
324,Paychex,PAYX,"Nasdaq-100, S&P 500",Industrials,Human Resource & Employment Services,Industrials,Diversified Commercial Services,0000723531,Paychex_PAYX,未开始
325,Pentair,PNR,S&P 500,Industrials,Industrial Machinery & Supplies & Components,,,0000077360,Pentair_PNR,未开始
326,Quanta Services,PWR,S&P 500,Industrials,Construction & Engineering,,,0001050915,Quanta_Services_PWR,未开始
327,RTX Corporation,RTX,S&P 500,Industrials,Aerospace & Defense,,,0000101829,RTX_Corporation_RTX,未开始
328,Republic Services,RSG,S&P 500,Industrials,Environmental & Facilities Services,,,0001060391,Republic_Services_RSG,未开始
329,Rocket Lab,RKLB,Nasdaq-100,,,Industrials,Aerospace,,Rocket_Lab_RKLB,未开始
330,Rockwell Automation,ROK,S&P 500,Industrials,Electrical Components & Equipment,,,0001024478,Rockwell_Automation_ROK,未开始
331,"Rollins, Inc.",ROL,S&P 500,Industrials,Environmental & Facilities Services,,,0000084839,Rollins_Inc_ROL,未开始
332,Snap-on,SNA,S&P 500,Industrials,Industrial Machinery & Supplies & Components,,,0000091440,Snap_on_SNA,未开始
333,Southwest Airlines,LUV,S&P 500,Industrials,Passenger Airlines,,,0000092380,Southwest_Airlines_LUV,未开始
334,Stanley Black & Decker,SWK,S&P 500,Industrials,Industrial Machinery & Supplies & Components,,,0000093556,Stanley_Black_Decker_SWK,未开始
335,Textron,TXT,S&P 500,Industrials,Aerospace & Defense,,,0000217346,Textron_TXT,未开始
336,Trane Technologies,TT,S&P 500,Industrials,Building Products,,,0001466258,Trane_Technologies_TT,未开始
337,TransDigm Group,TDG,S&P 500,Industrials,Aerospace & Defense,,,0001260221,TransDigm_Group_TDG,未开始
338,Uber,UBER,S&P 500,Industrials,Passenger Ground Transportation,,,0001543151,Uber_UBER,未开始
339,Union Pacific Corporation,UNP,S&P 500,Industrials,Rail Transportation,,,0000100885,Union_Pacific_Corporation_UNP,未开始
340,United Airlines Holdings,UAL,S&P 500,Industrials,Passenger Airlines,,,0000100517,United_Airlines_Holdings_UAL,未开始
341,United Parcel Service,UPS,S&P 500,Industrials,Air Freight & Logistics,,,0001090727,United_Parcel_Service_UPS,未开始
342,United Rentals,URI,S&P 500,Industrials,Trading Companies & Distributors,,,0001067701,United_Rentals_URI,未开始
343,Veralto,VLTO,S&P 500,Industrials,Environmental & Facilities Services,,,0001967680,Veralto_VLTO,未开始
344,Verisk Analytics,VRSK,S&P 500,Industrials,Research & Consulting Services,,,0001442145,Verisk_Analytics_VRSK,未开始
345,Vertiv,VRT,S&P 500,Industrials,Electrical Components & Equipment,,,0001674101,Vertiv_VRT,未开始
346,W. W. Grainger,GWW,S&P 500,Industrials,Industrial Machinery & Supplies & Components,,,0000277135,W_W_Grainger_GWW,未开始
347,Wabtec,WAB,S&P 500,Industrials,Construction Machinery & Heavy Transportation Equipment,,,0000943452,Wabtec_WAB,未开始
348,Waste Management,WM,S&P 500,Industrials,Environmental & Facilities Services,,,0000823768,Waste_Management_WM,未开始
349,Xylem Inc.,XYL,S&P 500,Industrials,Industrial Machinery & Supplies & Components,,,0001524472,Xylem_Inc_XYL,未开始
350,Accenture,ACN,S&P 500,Information Technology,IT Consulting & Other Services,,,0001467373,Accenture_ACN,未开始
351,Adobe Inc.,ADBE,"Nasdaq-100, S&P 500",Information Technology,Application Software,Technology,Software,0000796343,Adobe_Inc_ADBE,未开始
352,Advanced Micro Devices,AMD,"Nasdaq-100, S&P 500",Information Technology,Semiconductors,Technology,Semiconductors,0000002488,Advanced_Micro_Devices_AMD,已完成
353,Akamai Technologies,AKAM,S&P 500,Information Technology,Internet Services & Infrastructure,,,0001086222,Akamai_Technologies_AKAM,未开始
354,Amphenol,APH,S&P 500,Information Technology,Electronic Components,,,0000820313,Amphenol_APH,未开始
355,Analog Devices,ADI,"Nasdaq-100, S&P 500",Information Technology,Semiconductors,Technology,Semiconductors,0000006281,Analog_Devices_ADI,未开始
356,AppLovin,APP,"Nasdaq-100, S&P 500",Information Technology,Application Software,Technology,Software,0001751008,AppLovin_APP,未开始
357,Applied Materials,AMAT,"Nasdaq-100, S&P 500",Information Technology,Semiconductor Materials & Equipment,Technology,Semiconductors,0000006951,Applied_Materials_AMAT,未开始
358,Arista Networks,ANET,S&P 500,Information Technology,Communications Equipment,,,0001596532,Arista_Networks_ANET,未开始
359,Autodesk,ADSK,"Nasdaq-100, S&P 500",Information Technology,Application Software,Technology,Software,0000769397,Autodesk_ADSK,未开始
360,Broadcom,AVGO,"Nasdaq-100, S&P 500",Information Technology,Semiconductors,Technology,Semiconductors,0001730168,Broadcom_AVGO,已完成
361,CDW Corporation,CDW,S&P 500,Information Technology,Technology Distributors,,,0001402057,CDW_Corporation_CDW,未开始
362,Cadence Design Systems,CDNS,"Nasdaq-100, S&P 500",Information Technology,Application Software,Technology,Software,0000813672,Cadence_Design_Systems_CDNS,未开始
363,Ciena,CIEN,S&P 500,Information Technology,Communications Equipment,,,0000936395,Ciena_CIEN,未开始
364,Cisco,CSCO,"Nasdaq-100, S&P 500",Information Technology,Communications Equipment,Telecommunications,Computer Communications Equipment,0000858877,Cisco_CSCO,未开始
365,Cognizant,CTSH,S&P 500,Information Technology,IT Consulting & Other Services,,,0001058290,Cognizant_CTSH,未开始
366,Coherent Corp.,COHR,S&P 500,Information Technology,Electronic Components,,,0000820318,Coherent_Corp_COHR,未开始
367,Corning Inc.,GLW,S&P 500,Information Technology,Electronic Components,,,0000024741,Corning_Inc_GLW,未开始
368,CrowdStrike,CRWD,"Nasdaq-100, S&P 500",Information Technology,Systems Software,Technology,Software,0001535527,CrowdStrike_CRWD,未开始
369,Datadog,DDOG,"Nasdaq-100, S&P 500",Information Technology,Application Software,Technology,Software,0001561550,Datadog_DDOG,未开始
370,Dell Technologies,DELL,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals",,,0001571996,Dell_Technologies_DELL,未开始
371,"F5, Inc.",FFIV,S&P 500,Information Technology,Communications Equipment,,,0001048695,F5_Inc_FFIV,未开始
372,Fair Isaac,FICO,S&P 500,Information Technology,Application Software,,,0000814547,Fair_Isaac_FICO,未开始
373,First Solar,FSLR,S&P 500,Information Technology,Semiconductors,,,0001274494,First_Solar_FSLR,未开始
374,Flex Ltd.,FLEX,S&P 500,Information Technology,Electronic Manufacturing Services,,,0000866374,Flex_Ltd_FLEX,未开始
375,Fortinet,FTNT,"Nasdaq-100, S&P 500",Information Technology,Systems Software,Technology,Computer Peripheral Equipment,0001262039,Fortinet_FTNT,未开始
376,Gartner,IT,S&P 500,Information Technology,IT Consulting & Other Services,,,0000749251,Gartner_IT,未开始
377,Gen Digital,GEN,S&P 500,Information Technology,Systems Software,,,0000849399,Gen_Digital_GEN,未开始
378,GoDaddy,GDDY,S&P 500,Information Technology,Internet Services & Infrastructure,,,0001609711,GoDaddy_GDDY,未开始
379,HP Inc.,HPQ,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals",,,0000047217,HP_Inc_HPQ,未开始
380,Hewlett Packard Enterprise,HPE,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals",,,0001645590,Hewlett_Packard_Enterprise_HPE,未开始
381,IBM,IBM,S&P 500,Information Technology,IT Consulting & Other Services,,,0000051143,IBM_IBM,未开始
382,Intel,INTC,"Nasdaq-100, S&P 500",Information Technology,Semiconductors,Technology,Semiconductors,0000050863,Intel_INTC,未开始
383,Intuit,INTU,"Nasdaq-100, S&P 500",Information Technology,Application Software,Technology,Computer Software,0000896878,Intuit_INTU,未开始
384,Jabil,JBL,S&P 500,Information Technology,Electronic Manufacturing Services,,,0000898293,Jabil_JBL,未开始
385,KLA Corporation,KLAC,"Nasdaq-100, S&P 500",Information Technology,Semiconductor Materials & Equipment,Technology,Electronic Components,0000319201,KLA_Corporation_KLAC,已完成
386,Keysight Technologies,KEYS,S&P 500,Information Technology,Electronic Equipment & Instruments,,,0001601046,Keysight_Technologies_KEYS,未开始
387,Lam Research,LRCX,"Nasdaq-100, S&P 500",Information Technology,Semiconductor Materials & Equipment,Technology,Industrial Machinery,0000707549,Lam_Research_LRCX,未开始
388,Lumentum,LITE,"Nasdaq-100, S&P 500",Information Technology,Communications Equipment,Technology,Communication Equipment,0001633978,Lumentum_LITE,未开始
389,Marvell Technology,MRVL,"Nasdaq-100, S&P 500",Information Technology,Semiconductors,Technology,Semiconductors,0001835632,Marvell_Technology_MRVL,已完成
390,Microchip Technology,MCHP,"Nasdaq-100, S&P 500",Information Technology,Semiconductors,Technology,Semiconductors,0000827054,Microchip_Technology_MCHP,未开始
391,Micron Technology,MU,"Nasdaq-100, S&P 500",Information Technology,Semiconductors,Technology,Semiconductors,0000723125,Micron_Technology_MU,未开始
392,Monolithic Power Systems,MPWR,"Nasdaq-100, S&P 500",Information Technology,Semiconductors,Technology,Semiconductors,0001280452,Monolithic_Power_Systems_MPWR,未开始
393,Motorola Solutions,MSI,S&P 500,Information Technology,Communications Equipment,,,0000068505,Motorola_Solutions_MSI,未开始
394,NXP Semiconductors,NXPI,"Nasdaq-100, S&P 500",Information Technology,Semiconductors,Technology,Semiconductors,0001413447,NXP_Semiconductors_NXPI,未开始
395,NetApp,NTAP,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals",,,0001002047,NetApp_NTAP,未开始
396,Nvidia,NVDA,"Nasdaq-100, S&P 500",Information Technology,Semiconductors,Technology,Semiconductors,0001045810,Nvidia_NVDA,已完成
397,ON Semiconductor,ON,S&P 500,Information Technology,Semiconductors,,,0001097864,ON_Semiconductor_ON,未开始
398,Oracle Corporation,ORCL,S&P 500,Information Technology,Application Software,,,0001341439,Oracle_Corporation_ORCL,未开始
399,PTC Inc.,PTC,S&P 500,Information Technology,Application Software,,,0000857005,PTC_Inc_PTC,未开始
400,Palantir Technologies,PLTR,"Nasdaq-100, S&P 500",Information Technology,Application Software,Technology,Software,0001321655,Palantir_Technologies_PLTR,已完成
401,Palo Alto Networks,PANW,"Nasdaq-100, S&P 500",Information Technology,Systems Software,Technology,Computer Peripheral Equipment,0001327567,Palo_Alto_Networks_PANW,未开始
402,Qnity Electronics,Q,S&P 500,Information Technology,Semiconductor Materials & Equipment,,,0002058873,Qnity_Electronics_Q,未开始
403,Qualcomm,QCOM,"Nasdaq-100, S&P 500",Information Technology,Semiconductors,Technology,Semiconductors,0000804328,Qualcomm_QCOM,未开始
404,Roper Technologies,ROP,"Nasdaq-100, S&P 500",Information Technology,Electronic Equipment & Instruments,Technology,Software,0000882835,Roper_Technologies_ROP,未开始
405,Salesforce,CRM,S&P 500,Information Technology,Application Software,,,0001108524,Salesforce_CRM,未开始
406,Sandisk,SNDK,"Nasdaq-100, S&P 500",Information Technology,"Technology Hardware, Storage & Peripherals",Technology,Electronic Components,0002023554,Sandisk_SNDK,未开始
407,Seagate Technology,STX,"Nasdaq-100, S&P 500",Information Technology,"Technology Hardware, Storage & Peripherals",Technology,Electronic Components,0001137789,Seagate_Technology_STX,未开始
408,ServiceNow,NOW,S&P 500,Information Technology,Systems Software,,,0001373715,ServiceNow_NOW,未开始
409,Skyworks Solutions,SWKS,S&P 500,Information Technology,Semiconductors,,,0000004127,Skyworks_Solutions_SWKS,未开始
410,Supermicro,SMCI,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals",,,0001375365,Supermicro_SMCI,未开始
411,Synopsys,SNPS,"Nasdaq-100, S&P 500",Information Technology,Application Software,Technology,Software,0000883241,Synopsys_SNPS,未开始
412,TE Connectivity,TEL,S&P 500,Information Technology,Electronic Manufacturing Services,,,0001385157,TE_Connectivity_TEL,未开始
413,Teledyne Technologies,TDY,S&P 500,Information Technology,Electronic Equipment & Instruments,,,0001094285,Teledyne_Technologies_TDY,未开始
414,Teradyne,TER,"Nasdaq-100, S&P 500",Information Technology,Semiconductor Materials & Equipment,Technology,Semiconductors,0000097210,Teradyne_TER,未开始
415,Texas Instruments,TXN,"Nasdaq-100, S&P 500",Information Technology,Semiconductors,Technology,Semiconductors,0000097476,Texas_Instruments_TXN,未开始
416,Trimble Inc.,TRMB,S&P 500,Information Technology,Application Software,,,0000864749,Trimble_Inc_TRMB,未开始
417,Tyler Technologies,TYL,S&P 500,Information Technology,Application Software,,,0000860731,Tyler_Technologies_TYL,未开始
418,Verisign,VRSN,S&P 500,Information Technology,Internet Services & Infrastructure,,,0001014473,Verisign_VRSN,未开始
419,Western Digital,WDC,"Nasdaq-100, S&P 500",Information Technology,"Technology Hardware, Storage & Peripherals",Technology,Electronic Components,0000106040,Western_Digital_WDC,未开始
420,"Workday, Inc.",WDAY,"Nasdaq-100, S&P 500",Information Technology,Application Software,Technology,Software,0001327811,Workday_Inc_WDAY,未开始
421,Zebra Technologies,ZBRA,S&P 500,Information Technology,Electronic Equipment & Instruments,,,0000877212,Zebra_Technologies_ZBRA,未开始
422,Air Products,APD,S&P 500,Materials,Industrial Gases,,,0000002969,Air_Products_APD,未开始
423,Albemarle Corporation,ALB,S&P 500,Materials,Specialty Chemicals,,,0000915913,Albemarle_Corporation_ALB,未开始
424,Amcor,AMCR,S&P 500,Materials,Paper & Plastic Packaging Products & Materials,,,0001748790,Amcor_AMCR,未开始
425,Avery Dennison,AVY,S&P 500,Materials,Paper & Plastic Packaging Products & Materials,,,0000008818,Avery_Dennison_AVY,未开始
426,Ball Corporation,BALL,S&P 500,Materials,"Metal, Glass & Plastic Containers",,,0000009389,Ball_Corporation_BALL,未开始
427,CF Industries,CF,S&P 500,Materials,Fertilizers & Agricultural Chemicals,,,0001324404,CF_Industries_CF,未开始
428,CRH plc,CRH,S&P 500,Materials,Construction Materials,,,0000849395,CRH_plc_CRH,未开始
429,Corteva,CTVA,S&P 500,Materials,Fertilizers & Agricultural Chemicals,,,0001755672,Corteva_CTVA,未开始
430,Dow Inc.,DOW,S&P 500,Materials,Commodity Chemicals,,,0001751788,Dow_Inc_DOW,未开始
431,DuPont,DD,S&P 500,Materials,Specialty Chemicals,,,0001666700,DuPont_DD,未开始
432,Ecolab,ECL,S&P 500,Materials,Specialty Chemicals,,,0000031462,Ecolab_ECL,未开始
